Shape,,Coordinates,,,,,,,,,,,,,,,,,,,,,,Angle
Aconcave,,"[104,20],[42,80],[23,125],[127,125],[60,95],[95,60]",,,,,,,,,,,,,,,,,,,,,,-3.1415926
Aconvex,,"[41,23],[50,60],[86,95],[23,119],[127,125],[105,81]",,,,,,,,,,,,,,,,,,,,,,-3.1415926
Bconcave Agent,,"[53,39],[49,80],[101,137],[105,82],[96,94],[93,72],[96,40]",,,,,,,,,,,,,,,,,,,,,,-1.671059894
Bconcave,,"[86,12],[59,18],[33,75],[101,137],[115,87],[96,94],[57,65],[80,30]",,,,,,,,,,,,,,,,,,,,,,math.pi
Bconvex,,"[69,20],[95,24],[106,79],[45,136],[44,82],[60,90],[90,70],[73,35]",,,,,,,,,,,,,,,,,,,,,,-3.926990817
Cconcave,,"[42,20],[45,114],[105,130],[61,97],[73,82],[86,70],[83,40],[66,24]",,,,,,,,,,,,,,,,,,,,,,(-3.4243359924128747)*1
Cconvex,,"[105,19],[80,23],[68,36],[65,70],[80,80],[90,100],[47,130],[106,112]",,,,,,,,,,,,,,,,,,,,,,-3.141592654
Dconcave,,"[40,18],[113,55],[113,122],[102,106],[70,119],[41,119],[45,110],[38,109],[49,98],[81,85],[50,89],[93,64]",,,,,,,,,,,,,,,,,,,,,,(-0.21991148575128555)
Dconvex,,"[108,15],[35,54],[38,123],[49,106],[81,119],[110,119],[105,109],[113,109],[99,96],[66,86],[97,83],[54,63]",,,,,,,,,,,,,,,,,,,,,,math.pi*1.6
Econcave,,"[34,33],[105,25],[98,44],[116,37],[98,55],[63,42],[44,109],[50,100],[47,120],[35,119]",,,,,,,,,,,,,,,,,,,,,,-4.648928809
Econvex,,"[43,27],[113,32],[117,117],[105,123],[100,100],[108,109],[84,42],[55,60],[43,40],[55,40]",,,,,,,,,,,,,,,,,,,,,,-1.570796327
Fconcave,,"[54,42],[112,57],[111,4],[119,10],[119,80],[100,122],[53,135],[41,120]?,[91,61],[80,64],[38,99],[30,91],[60,70],[33,70],[36,49]",,,,,,,,,,,,,,,,,,,,,,-1.5707963
Fconvex,,"[30,20],[39,14],[39,50],[94,33],[115,39],[117,59],[91,59],[125,95],[113,97],[71,60],[59,62],[110,120],[98,134],[51,122],[31,81]",,,,,,,,,,,,,,,,,,,,,,0
Gconcave,,"[15,104],[38,82],[54,31],[59,56],[60,23],[72,28],[67,58],[80,34],[83,50],[60,100],[126,116],[135,127],[45,114],[35,128]",,,,,,,,,,,,,,,,,,,,,,2.9845130209103035*1.05
Gconvex,,"[15,104],[38,82],[54,31],[59,56],[60,23],[72,28],[67,58],[80,34],[83,50],[60,100],[126,116],[135,127],[45,114],[35,128]",,,,,,,,,,,,,,,,,,,,,,0.6283185307179586*1.1
Hconcave,,"[27,15],[75,15],[100,20],[90,30],[55,26],[70,49],[90,58],[85,67],[97,77],[91,92],[136,110],[119,122],[99,105],[74,114],[72,104],[64,136],[59,95],[24,111],[34,44],[47,44]",,,,,,,,,,,,,,,,,,,,,,-3.141592654
Hconvex,,"[55,20],[60,32],[101,27],[79,51],[59,56],[67,67],[55,74],[61,95],[24,105],[30,118],[52,108],[75,114],[77,104],[82,137],[90,97],[127,112],[119,48],[104,48],[127,18],[84,14]",,,,,,,,,,,,,,,,,,,,,,-1.570796327
